Year,geo,time,final_cons,ths_wpeople,long_int,deflated_GDP,va_thwokers,env_consu,env_total,env_inv,gfcf,gfcf_pub,short_int,ths_whour.y,north_south_dummy,Population,Real_GDP_per_capita
1994,FI,1994,29594.45118,2017.5,9.036666667,132136.2947,65.49506554,192.2377198,441.1764706,71.40691328,,5515.615525,5.35,3483900,1,5088333,25968.48412
1994,DE,1994,,37879,6.884414345,2292925.428,60.5328923,,,,,,5.364167,58204104,1,81438348,28155.35291
1994,FR,1994,,23411,7.213791667,1563375.44,66.77952418,,,,,,5.846675,38001521,0,59327585,26351.57726
1994,SE,1994,,4020.6,9.495,265355.4574,65.99896966,,,,,,7.400833,6573120,1,8780745,30220.15301
1994,DK,1994,,2595.82,7.825333333,198441.7385,76.44664827,,,,,,6.302278,3651441,1,5206180,38116.57271
1994,NO,1994,,2069,7.435833333,220165.6221,106.4116105,,,,,,5.850833,3092000,1,4336613,50769.02691
1995,AT,1995,47420.19775,3587.13,7.135075,242067.4396,67.48220433,400.6197723,2876.820253,1054.663393,58668.73695,9467.678611,4.568333,6365134,1,7948278,30455.33128
1995,EU27_2020,1995,1791274.247,178215.6,,8856993.683,49.69819524,23862.01017,68374.42003,22441.44446,,294391.805,,308800449,,,
1995,CZ,1995,21100.69034,5105.54,,104479.0626,20.46386133,403.0792988,1177.218639,500.9537651,1224952.312,5843.855028,10.94583,9351688,1,10327253,10116.82996
1995,BE,1995,60965.98958,3868.8,7.480833333,286237.93,73.98623087,596.2545648,2173.574018,650.057832,58079.58725,6352.554356,4.783333,6106248,1,10136811,28237.4733
1995,FI,1995,30150.79759,2058.7,8.791666667,137708.2523,66.89087884,216.5367536,420.5964823,48.96896843,25489.35428,5101.761541,5.75,3566600,1,5107790,26960.43735
1995,DE,1995,452261.5852,38042,6.850542817,2328346.167,61.20462033,4259.442404,21126.61298,8410.803428,525069.4641,61268.36677,4.531667,58225837,1,81678051,28506.38744
1995,BG,1995,4635.058739,3518.57,,30499.96848,8.668285263,242.7337494,250.7197949,33.20513629,446.8759851,208.4778177,,6019126,0,8406067,3628.328025
1995,ES,1995,126136.2009,13858.4,11.27093514,716122.1879,51.6742328,2072.563325,5609.644647,1433.597855,153616.7426,31562.45716,9.355166,24096936,0,39724050,18027.42137
1995,PT,1995,24914.17285,4528.98,11.46666667,142678.1207,31.50336737,381.4017651,741.3271465,343.9356649,32492.3704,6290.072267,,8594726,0,10026176,14230.56215
1995,SI,1995,4243.603194,922.45,,23810.10666,25.81181274,32.49402576,148.4816693,35.6997144,3558.735955,971.9065105,,1619550,0,1989872,11965.64737
1995,EL,1995,27011.34254,4156.34,,151807.4089,36.52429996,771.4957067,580.7611975,233.2327686,,5926.258993,16.40415,8772813,,,
1995,CH,1995,50397.18555,3915.58,4.52145375,426798.0077,108.9999458,827.7334177,3331.963001,1045.458139,176317.6681,15553.6406,,6735840,1,7040687,60618.8015
1995,FR,1995,369974.9743,23645,7.534975,1596325.908,67.51219743,6041.89205,9409.418543,2722.852935,318762.7898,67055.56497,6.578183,37860648,0,59543659,26809.33511
1995,CY,1995,1416.89578,295.94,,11412.08816,38.56216855,14.87357462,22.23524286,7.061191989,2907.258004,505.8517751,,562158,0,862418,13232.66462
1995,RO,1995,11440.94102,11617.5,,93415.45499,8.040925758,19.60463976,168.273158,148.6685182,5262.212057,3882.372161,,21174583,0,22684270,4118.071906
1995,HR,1995,7605.757175,1557.18,,30099.27348,19.32934759,62.5182488,227.9168026,25.93476805,3853.113464,1908.695876,,2994849,0,4620030,6514.951955
1995,EE,1995,2270.815291,633.6,,9241.927502,14.58637548,45.4657924,53.50736113,14.22739082,2345.86818,496.7215143,,1290790,1,1436634,6433.042446
1995,IE,1995,15854.53342,1327.44,8.255,92081.1785,69.36748817,334.3258632,499.7475143,164.7251389,17231.27826,2162.670428,6.2475,2604438,1,3608841,25515.44346
1995,LT,1995,3874.475932,1483.18,,16145.06825,10.88544091,21.75078019,22.38123759,1.260914794,4984.481083,522.0187246,,2607456,1,3629102,4448.777755
1995,EA20,1995,1575911.273,132547.16,,7877492.237,59.43161843,21756.20033,62789.97551,20365.11128,,258838.1828,,223381633,,,
1995,HU,1995,16337.4353,3942.91,,71437.43328,18.11794672,161.5274617,554.6716078,324.0619524,2559740.992,401.2003786,32.04167,7680838,1,10328965,6916.223773
1995,DK,1995,49174.91797,2612.02,8.268583333,204451.2222,78.27322232,710.4551828,1044.50644,112.8922681,291775.8041,5894.537518,6.202783,3706831,1,5233373,39066.81641
1995,SK,1995,8670.044483,2107.19,,36449.24951,17.29756192,331.8347249,588.025405,54.47322724,12260.98385,1194.60501,,3904725,1,5361999,6797.697931
1995,LV,1995,2621.199892,930.19,,11131.01964,11.96639357,33.62927092,33.09120258,3.228410008,1548.827011,230.5622814,,1985922,1,2485056,4479.182618
1995,IT,1995,261410.9027,21910.4,12.20636583,1499364.568,68.43163831,2184.704233,8921.084257,2268.159968,319549.339,38941.94819,10.45667,40670367,0,56844303,26376.69017
1995,EA19,1995,1568437.41,130989.98,,7846434.868,59.90103112,21686.82603,62551.97015,20326.1033,,257085.8447,,220386785,,,
1995,SE,1995,70278.05523,4085,10.24416667,275799.0713,67.51507255,115.6763761,964.5547067,255.7838188,507419.7554,13979.15936,8.745833,6701020,1,8826939,31245.15433
1995,NL,1995,105290.5896,7268,6.899166667,469503.7655,64.59875695,3762.670466,7666.327431,1894.836827,93591.15272,17251.64529,,10767965,1,15459006,30370.88966
1995,PL,1995,36971.87657,14786.9,,195703.4453,13.23492046,385.1686686,1122.419622,828.5981443,108064.8062,5299.575631,27.69,30784730,1,38594998,5070.694531
